#{"t_start": 1716333781.762395, "env_id": "None"}
r,l,t
-842313.485349,10000,30.418328
-842313.485349,10000,47.965903
-842313.485349,10000,65.139431
-842313.485349,10000,83.296602
-842313.485349,10000,100.763105
-721273.784453,10000,129.954036
-721273.784453,10000,146.656853
-721273.784453,10000,163.275074
-721273.784453,10000,179.950245
-721273.784453,10000,196.573473
-1707035.628343,10000,226.033681
-1707035.628343,10000,242.636889
-1707035.628343,10000,259.852081
-1707035.628343,10000,276.834039
-1707035.628343,10000,293.600291
-2139197.436022,10000,324.966249
-2139197.436022,10000,342.446402
-2139197.436022,10000,359.883947
-2139197.436022,10000,378.707863
-2139197.436022,10000,395.988308
-1577112.687486,10000,425.592512
-1577112.687486,10000,442.794059
-1577112.687486,10000,459.953681
-1577112.687486,10000,476.532734
-1577112.687486,10000,493.725662
-1724045.994041,10000,522.322062
-1724045.994041,10000,539.169718
-1724045.994041,10000,556.170584
-1724045.994041,10000,573.077929
-1724045.994041,10000,590.277041
-1664322.5479,10000,620.206154
-1664322.5479,10000,636.86189
-1664322.5479,10000,653.530491
-1664322.5479,10000,670.362149
-1664322.5479,10000,687.205354
-1880143.274498,10000,716.1448
-1880143.274498,10000,732.836068
-1880143.274498,10000,749.664973
-1880143.274498,10000,766.768254
-1880143.274498,10000,783.595357
-1401238.050564,10000,811.96452
-1401238.050564,10000,828.251323
-1401238.050564,10000,844.685092
-1401238.050564,10000,861.032786
-1401238.050564,10000,877.810997
158624.712415,6810,901.942777
158624.712415,6810,913.550951
158624.712415,6810,925.044203
158624.712415,6810,936.616792
158624.712415,6810,948.206288
-1124620.44258,10000,976.736516
-1124620.44258,10000,993.137162
-1124620.44258,10000,1009.543516
-1124620.44258,10000,1026.073801
-1124620.44258,10000,1043.583659
-1357458.426821,10000,1073.331567
-1357458.426821,10000,1090.344412
-1357458.426821,10000,1107.745621
-1357458.426821,10000,1124.672466
-1357458.426821,10000,1141.565478
-840162.943023,10000,1171.393877
-840162.943023,10000,1188.907373
-840162.943023,10000,1206.47767
-840162.943023,10000,1224.094645
-840162.943023,10000,1241.333142
-577772.771921,10000,1271.013651
-577772.771921,10000,1287.588495
-577772.771921,10000,1304.314913
-577772.771921,10000,1320.874575
-577772.771921,10000,1337.91978
-570828.786032,10000,1367.831148
-570828.786032,10000,1385.20167
-570828.786032,10000,1402.017488
-570828.786032,10000,1418.969685
-570828.786032,10000,1436.429602
-776649.510042,10000,1466.794877
-776649.510042,10000,1484.70331
-776649.510042,10000,1502.274398
-776649.510042,10000,1519.978213
-776649.510042,10000,1537.141963
-713375.503886,10000,1568.035051
-713375.503886,10000,1585.562088
-713375.503886,10000,1603.245954
-713375.503886,10000,1620.831429
-713375.503886,10000,1638.882919
-477303.398762,10000,1669.712498
-477303.398762,10000,1687.138463
-477303.398762,10000,1704.60095
-477303.398762,10000,1722.862767
-477303.398762,10000,1740.131025
-419131.922464,10000,1770.37135
-419131.922464,10000,1787.488519
-419131.922464,10000,1805.408403
-419131.922464,10000,1822.701498
-419131.922464,10000,1839.940691
-418724.091261,10000,1869.427991
-418724.091261,10000,1886.934242
-418724.091261,10000,1904.598308
-418724.091261,10000,1921.701963
-418724.091261,10000,1938.947612
16587.162067,10000,1968.224501
16587.162067,10000,1985.088124
16587.162067,10000,2002.204644
16587.162067,10000,2019.050527
16587.162067,10000,2035.72174
134162.08881,10000,2064.182899
134162.08881,10000,2080.703971
134162.08881,10000,2096.622745
134162.08881,10000,2113.036168
134162.08881,10000,2128.618668
-182230.89378,10000,2160.016822
-182230.89378,10000,2179.080064
-182230.89378,10000,2196.301337
-182230.89378,10000,2213.387028
-182230.89378,10000,2231.153759
535138.732876,10000,2262.4683
535138.732876,10000,2281.302133
535138.732876,10000,2299.228523
535138.732876,10000,2316.620893
535138.732876,10000,2334.279534
-163958.988789,10000,2365.936439
-163958.988789,10000,2383.983097
-163958.988789,10000,2401.980198
-163958.988789,10000,2419.896209
-163958.988789,10000,2437.898294
59894.663956,10000,2467.364983
59894.663956,10000,2485.34199
59894.663956,10000,2502.631735
59894.663956,10000,2520.333609
59894.663956,10000,2538.04361
1449600.09039,10000,2567.74705
1449600.09039,10000,2584.716784
1449600.09039,10000,2601.767398
